genus,primary_lifestyle,ectomycorrhiza_exploration_type,ectomycorrhiza_lineage
Guarroa,wood_saprotroph,,
Phaeobotrys,wood_saprotroph,,
Elbamycella,plant_pathogen,,
Neospadicoides,wood_saprotroph,,
Allodiatrype,litter_saprotroph,,
Halocryptovalsa,wood_saprotroph,,
Neoeutypella,wood_saprotroph,,
Natonodosa,litter_saprotroph,,
Xenoanthostomella,litter_saprotroph,,
Alishanica,litter_saprotroph,,
Buerenia,plant_pathogen,,
Cylindroaseptospora,litter_saprotroph,,
Amphosoma,wood_saprotroph,,
Prosthecium,wood_saprotroph,,
Chaetopsis,wood_saprotroph,,
Tumenectria,litter_saprotroph,,
Brachychaeta,soil_saprotroph,,
Chrysanthotrichum,soil_saprotroph,,
Stolonocarpus,dung_saprotroph,,
Remleria,wood_saprotroph,,
Capturomyces,,,
Variabilispora,,,
Vexillomyces,,,
Muscodor,foliar_endophyte,,
Shearia,wood_saprotroph,,
Neocoleroa,plant_pathogen,,
Sympodiella,litter_saprotroph,,
Ahmadea,,,
Babosia,,,
Tylocliostomum,lichenized,,
Geomorium,ectomycorrhizal,unknown,/tuber-helvella
Jennwenomyces,wood_saprotroph,,
Dothidasteromella,epiphyte,,
Thyrinula,epiphyte,,
Echidnodes,epiphyte,,
Koordersiella,litter_saprotroph,,
Alloneottiosporina,litter_saprotroph,,
Artocarpomyces,litter_saprotroph,,
Pseudovirgaria,mycoparasite,,
Caudella ,epiphyte,,
Morenoina,litter_saprotroph,,
Asteromellopsis,wood_saprotroph,,
Coniozyma,plant_pathogen,,
Hormonema,unspecified_saprotroph,,
Pringsheimia,wood_saprotroph,,
Celosporium,plant_pathogen,,
Heteroconium,sooty_mold,,
Hysterographium,wood_saprotroph,,
Monorhizina,epiphyte,,
Funbolia,wood_saprotroph,,
Blastacervulus,epiphyte,,
Paraopeba,epiphyte,,
Hamatispora,litter_saprotroph,,
Hansfordiella,epiphyte,,
Pseudopenidiella,litter_saprotroph,,
Heleiosa,litter_saprotroph,,
Pleiostomellina,,,
Syrropeltis,,,
Curreya,litter_saprotroph,,
Belizeana,wood_saprotroph,,
Longiostiolum,wood_saprotroph,,
Pseudochaetosphaeronema,litter_saprotroph,,
Phragmotrichum,,,
Muellerites,wood_saprotroph,,
Neomassarina,wood_saprotroph,,
Hobus,litter_saprotroph,,
Clematidis,wood_saprotroph,,
Pseudolophiotrema,litter_saprotroph,,
Byssolophis,wood_saprotroph,,
Speiropsis,litter_saprotroph,,
Echinocatena,litter_saprotroph,,
Dimeriella,plant_pathogen,,
Beelia,plant_pathogen,,
Endococcus,lichen_parasite,,
Parakarstenia,unspecified_saprotroph,,
Amorphotheca,unspecified_saprotroph,,
Byssoascus,soil_saprotroph,,
Hormoconis,wood_saprotroph,,
Mycosylva,dung_saprotroph,,
Myxotrichum,soil_saprotroph,,
Oidiodendron,soil_saprotroph,,
Parachnopeziza,litter_saprotroph,,
Bloxamia,wood_saprotroph,,
Aivenia,litter_saprotroph,,
Calloria,litter_saprotroph,,
Chaetonaevia,litter_saprotroph,,
Diplonaevia,litter_saprotroph,,
Duebenia,litter_saprotroph,,
Eupropolella,plant_pathogen,,
Hyalacrotes,litter_saprotroph,,
Iridinea,dung_saprotroph,,
Loricella,litter_saprotroph,,
Micropodia,litter_saprotroph,,
Naeviella,litter_saprotroph,,
Naeviopsis,litter_saprotroph,,
Ploettnera,litter_saprotroph,,
Tricellula,litter_saprotroph,,
Trichosporiella,soil_saprotroph,,
Cenangiopsis,wood_saprotroph,,
Cenangium,foliar_endophyte,,
Chlorencoelia,wood_saprotroph,,
Crumenulopsis,plant_pathogen,,
Encoelia,wood_saprotroph,,
Fabrella,plant_pathogen,,
Heyderia,litter_saprotroph,,
Meria,plant_pathogen,,
Rhabdocline,plant_pathogen,,
Sarcotrochila,foliar_endophyte,,
Trochila,litter_saprotroph,,
Velutarina,wood_saprotroph,,
Vestigium,root_endophyte,,
Zoellneria,litter_saprotroph,,
Arctomollisia,wood_saprotroph,,
Coleophoma,plant_pathogen,,
Corniculariella,wood_saprotroph,,
Davidhawksworthia,litter_saprotroph,,
