OTU_ID,Bal1,Bal5,Bal6,Bal8,CC10,CC7,CC8,Can2,DY1,Bal2,Bal3,Bal4,Bal7,CC2,DY3,Bal11,Bal9,CC1,Can1,DP2,DP3,DP4,DP6,DP7,DY2,DY5,DY4,CC3,CC9,DY6,Bal10,DP5,CC11,CC4,DP1,DY7,Can5,Can6,Can3,Can4
85415fa174afc78e36fef6290c53503a6a3051b2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75510,0,0,0,0,0,0,0,0,0
63d3e217d7836cc4991b90508f2721aee0b5c03e,0,282,11248,453,207,0,0,361,7398,633,915,4194,1552,0,106,0,37109,0,0,758,0,134,0,0,355,0,170,816,0,0,4581,0,0,0,2188,0,109,222,0,0
e44e7d945392a45aa8b6c176af6365bb26408e64,0,0,0,0,0,613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68729,0,0,0,0,0,0,0
1b089f4f419b450023c3878e153e7de1a9b8c934,0,0,1193,0,0,0,0,0,0,0,0,66971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107568d250340d5e452c9fa7ab825f1baff8d991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5961,62118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2c471988689c95f076b5487d3cc5a86907764bba,0,566,6329,1021,0,0,859,0,0,10502,3232,770,0,0,0,0,273,0,0,0,0,0,0,154,0,0,0,0,287,0,32421,0,0,0,0,0,0,0,0,0
326ba8ab67ee44cc8ff9befcff2c8ac9b6e431e5,0,0,0,0,0,0,0,0,56320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c78c3c2cd478f416f7ccaa96fdfa1fac5d59a54d,0,0,0,0,0,0,0,0,0,0,0,54405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
585d263c906f6f48c0e2d6d4f0a6596d0e280176,0,0,0,0,0,0,0,0,572,0,0,0,0,0,0,0,0,0,0,0,0,53232,0,0,0,0,99,0,0,110,0,0,0,0,0,0,0,0,0,0
e720af6cb46b52d5ff96866443f2440e1816960a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8550,15395,0,0,0,0,0,0,0,0,0,0,29023,0,0,0,0,0,0,0,0
