OTU_ID,abundance,phylum,class,order,family,genus,species,evalue,coverage,primary_lifestyle,ectomycorrhiza_exploration_type,ectomycorrhiza_lineage,similarity
47faf9aa4f268407174d4c2699b38f6723e977c5,50,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,Inocybe_sp,4.59e-74,100,ectomycorrhizal,short-distance_delicate,/inocybe,98.125
84a6eb8c4a3ab0cf0d51e89f81e0085f91a574e9,49,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,Inocybe_sp,7.52e-105,100,ectomycorrhizal,short-distance_delicate,/inocybe,98.643
5d5c49e1ebc78ea3df4b0a95a33f230354cf3683,48,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella_sp,3.4e-90,100,ectomycorrhizal,medium-distance_smooth,/tomentella-thelephora,94.064
d7f76f75a0e508d824394b3739e60e7d68dbcccf,46,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephora,Thelephora_sp,2.67e-104,99.55156950672645,ectomycorrhizal,medium-distance_smooth,/tomentella-thelephora,97.297
761a0cab6bbc9c69779f4e7a8e1a85676356987b,45,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella_sp,4.7e-101,100,ectomycorrhizal,medium-distance_smooth,/tomentella-thelephora,97.235
b70e718c170c38a2ed61a36a36dfe53a7409671e,43,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella_sp,2.95e-97,99.54128440366972,ectomycorrhizal,medium-distance_smooth,/tomentella-thelephora,96.313
3a22f8bebda6a44cbaa1a7d4d44fe9297c641168,42,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Descomyces,Descomyces_sp,5.79e-81,100,ectomycorrhizal,short-distance_delicate,/descolea,91.441
c883c17486ed9823b01622c63d993109a9a8f98a,37,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella_sp,5.66e-100,99.06976744186046,ectomycorrhizal,medium-distance_smooth,/tomentella-thelephora,97.653
52eb066c80ba457ffac214d950dd41bbbf847c08,36,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Ruhlandiella,Ruhlandiella_sp,5.24e-74,97.75280898876404,ectomycorrhizal,short-distance_coarse,/terfezia-peziza_depressa,95.977
8774e8671bf05e0ebdb7006ff4d96ca087e0c8a4,29,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Descomyces,Descomyces_sp,8.71e-98,100,ectomycorrhizal,short-distance_delicate,/descolea,95.946
899f226d3af07807fca4e409815167ddcbdd3f23,28,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita_sp,9.1e-117,99.56896551724138,ectomycorrhizal,contact,/amanita,100
6471347a809e4cc2038042d7120bc51f4df7a9a7,26,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Ruhlandiella,Ruhlandiella_sp,7.83e-72,100,ectomycorrhizal,short-distance_coarse,/terfezia-peziza_depressa,93.889
bdc69d55a63a8112d192662e6dec80318dbbbffe,23,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius_sp,2.24e-92,100,ectomycorrhizal,medium-distance_fringe,/cortinarius,94.545
23423d95c0be0e63eb3e7a1cb45d20e8952a8c89,22,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Ruhlandiella,Ruhlandiella_sp,2.23e-72,100,ectomycorrhizal,short-distance_coarse,/terfezia-peziza_depressa,93.855
2efd806e76ddf191132bd0dc8af8917eb2ab539b,21,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephora,Thelephora_sp,5.5e-94,100,ectomycorrhizal,medium-distance_smooth,/tomentella-thelephora,94.144
7bc5ea797652ddea5a998c8c725f3fe3280dd69a,21,Basidiomycota,Agaricomycetes,Agaricales,Hydnangiaceae,Laccaria,Laccaria_sp,3.88e-89,97.11538461538461,ectomycorrhizal,short-distance_delicate,/laccaria,96.535
5813952b82e35d7240e72525bdc64ebaf05879aa,21,Basidiomycota,Agaricomycetes,Sebacinales,Sebacinaceae,Sebacina,Sebacina_sp,3.46e-83,100,ectomycorrhizal,short-distance_delicate,/sebacina,94.416
a5ca9f35c10d85ab1bfef6da061781696778e155,20,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella_sp,5.82e-81,100,ectomycorrhizal,medium-distance_smooth,/tomentella-thelephora,90.455
8d5b6c8aeecdf7bd5fb743e69717b952697e93d7,19,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,Russula_sp,5.83e-113,100,ectomycorrhizal,contact,/russula-lactarius,98.291
92432f53f6223597fc8be267ee229109e56a4882,17,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephora,Thelephora_sp,9.73e-110,99.54337899543378,ectomycorrhizal,medium-distance_smooth,/tomentella-thelephora,100
0c27afe9d508483aae8254ceb1213230a95186bb,16,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella_sp,3.67e-96,100,ectomycorrhizal,medium-distance_smooth,/tomentella-thelephora,95.455
be44584efd3533ee8b12447e0663c1b6852c37b6,16,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella_sp,1.34e-82,100,ectomycorrhizal,medium-distance_smooth,/tomentella-thelephora,91.204
dde1c482fe5578be7c80d21d427635b9f812c258,15,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Ruhlandiella,Ruhlandiella_sp,5.56e-80,100,ectomycorrhizal,short-distance_coarse,/terfezia-peziza_depressa,96.629
f2d0d678d1b33b0c019236a7ca667b83dc38bdee,13,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella_sp,6.24e-106,100,ectomycorrhizal,medium-distance_smooth,/tomentella-thelephora,98.19
772e78a5adfc60bdab160cd5c65420c3a0af0b9f,13,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,Inocybe_sp,5.34e-80,100,ectomycorrhizal,short-distance_delicate,/inocybe,97.727
e0bce852a53e6815271eab6c1fb2f5d6a85e23eb,11,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Ruhlandiella,Ruhlandiella_sp,7.63e-72,100,ectomycorrhizal,short-distance_coarse,/terfezia-peziza_depressa,93.855
