OTU_ID,Bal1,Bal10,Bal11,Bal2,Bal3,Bal4,Bal5,Bal6,Bal7,Bal8,Bal9,CC1,CC10,CC11,CC2,CC3,CC4,CC7,CC8,CC9,Can1,Can2,Can3,Can4,Can5,Can6,DP1,DP2,DP3,DP4,DP5,DP6,DP7,DY1,DY2,DY3,DY4,DY5,DY6,DY7
328dbc9b565a8a6bbe004b4f459b76cb91f7bdf2,0,0,0,0,0,0,0,0,275169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64593,0,105,0,0,20970,10304,0,0
37ac060fa7aa92d62f3630654fb262ad2bf339a1,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3d0082639fe6dffa0ca064b68a26163f7bcd6f06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3d57d022cd5f69dae96ff6a918c59f8dc156173a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37761,0,0,0,0,0,0,0,0,0,0,0,0,0
3fb40dfd95262d976ecb180e7b7f3cf8c1099dda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,989,0,24244,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3fbb56c7ef9ccfcf0e7486dc736296a46310b78f,0,0,0,0,0,0,0,0,0,0,2490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471e4995becde4f1dc04c8bc338ffd00fc0006af,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556,0,0,0,0,0,0,0,0,0,0,0,0,0,826,256,0,0
47faf9aa4f268407174d4c2699b38f6723e977c5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499cc839023dacaa72ba16325ce14235c8105b81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4c1e67af17111fbd4dd91e19a7d767043d7278d5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784,0,0,0,452,0,0,0,0,0,0,0,0,0,0
